exercise_name,gymvisual_name,gif_filename
Dumbbell Curl,Dumbbell Alternate Biceps Curl,Dumbbell-Alternate-Biceps-Curl_Upper-Arms-FIX__converted.gif
Dumbbell Reverse Curl,Dumbbell Standing Reverse Curl,Dumbbell-Standing-Reverse-Curl_Forearms__converted.gif
Dumbbell Reverse Wrist Curl,Dumbbell Over Bench Revers Wrist Curl,Dumbbell-Over-Bench-Revers-Wrist-Curl_Forearms__converted.gif
Dumbbell Wrist Curl,Dumbbell Over Bench Wrist Curl,Dumbbell-Over-Bench-Wrist-Curl_Forearms_converted.gif
EZ-Bar Curl,EZ Barbell Curl,EZ-Barbell-Curl_Upper-Arms-FIX__converted 2.gif
EZ-Bar Reverse Curl,EZ Barbell Reverse Grip Curl,EZ-Barbell-Reverse-Grip-Curl_Forearms_converted 2.gif
Hammer Curl,Dumbbell Hammer Curl,Dumbbell-Hammer-Curl-(version-2)_Upper-Arms-FIX__converted.gif
Lying Cable Curl,Cable Lying Bicep Curl,Cable-Lying-Bicep-Curl_Upper-Arms__converted.gif
Incline Cable Curl,Cable Incline Biceps Curl,Cable-Incline-Biceps-Curl_Upper-Arms__converted.gif
Incline Dumbbell Curl,Dumbbell Incline Biceps Curl,Dumbbell-Incline-Biceps-Curl_Upper-Arms_converted.gif
Incline Hammer Curl,Dumbbell Incline Hammer Curl,Dumbbell-Incline-Hammer-Curl_Upper-Arms_converted.gif
Machine Preacher Curl,Lever Preacher Curl,Lever-Preacher-Curl-(Turned-Torso)_Upper-Arms__converted.gif
Overhead Cable Curl,Cable Overhead Curl,Cable-Overhead-Curl_Upper-Arms_converted.gif
Ez-Bar Preacher Curl,EZ Barbell Preacher Curl,EZ-Barbell-Preacher-Curl_Upper-Arms__converted 2.gif
Seated Dumbbell Curl,Dumbbell Seated Curl,Dumbbell-Seated-Curl_Upper-Arms_converted.gif
Single-Arm Cable Bicep Curl,Cable One Arm Curl,Cable-One-Arm-Curl_Upper-Arms_converted.gif
Single-Arm Dumbbell Preacher Curl,Dumbbell Preacher Curl,Dumbbell-Preacher-Curl_Upper-Arms_converted.gif
Spider Curl,EZ Barbell Spider Curl,EZ-Barbell-Spider-Curl_Upper-Arms-FIX__converted.gif
Strict Curl,Barbell Srtict Curl,Barbell-Srtict-Curl_Upper-Arms__converted.gif
Zottman Curl,Dumbbell Zottman Curl,Dumbbell-Zottman-Curl_Upper-Arms-FIX__converted.gif
Nordic Curl,Nordic Hamstring Curl (male),Nordic-Hamstring-Curl-(male)_Thighs__converted.gif
Deadlift,Barbell Deadlift,Barbell-Deadlift-(side-POV)-(male)_Hips__converted.gif
Single-Leg Deadlift,Barbell Single Leg Deadlift,Barbell-Single-Leg-Deadlift_Hips__converted.gif
Dumbbell Deadlift,Dumbbell Deadlift (VERSION 2) (male),Dumbbell-Deadlift_Hips_converted.gif
Single-Leg Dumbbell Deadlift,Dumbbell Single Leg Deadlift,Dumbbell-Single-Leg-Deadlift-(male)_Hips__converted.gif
Deficit Deadlift,Barbell Deadlift from Deficit,Barbell-Deadlift-from-Deficit_Hips__converted.gif
Jefferson Curl,Dumbbell Jefferson Curl (male),Dumbbell-Jefferson-Curl-(male)_Hips__converted.gif
Snatch Grip Deadlift,Barbell Snatch grip Deadlift (male),Barbell-Snatch-grip-Deadlift-(male)_Hips__converted.gif
