exercise_name,gymvisual_name
Kneeling Hip Extension,Straight Leg Kickback (kneeling) (male)
Hip Extension,Hip - Extension
Hip Airplane,Warrior III Pose (female)
Machine Hip Abduction,Lever Seated Hip Abduction
Machine Hip Adduction,Lever Seated Hip Adduction
Lying Leg Curl,Lever Lying Leg Curl
Seated Leg Curl,Lever Seated Leg Curl
Slider Leg Curl,Sliding Leg Curl on Floor with Towel
Standing Leg Curl,Lever Standing Leg Curl
Stability-Ball Leg Curl,Exercise Ball Leg Curl
Cable Leg Extension,Cable Seated Leg Extension
Leg Extension,Lever Leg Extension
Compact Leg Press,Lever Linear Hack Squat (male)
Horizontal Leg Press,Lever Horizontal Leg Press
Leg Press,Sled 45 Leg Press
Single-Leg Press,Sled 45 degrees One Leg Press (female)
Vertical Leg Press,Sled Vertical Leg Press
Flutter Kicks,Flutter Kicks (version 3)
Hanging Knee Raise,Hanging Leg Hip Raise
Hanging Leg Raise,Hanging Leg Raise
L-Sit,L-sit
Lying Leg Raise,Lying Leg Raise
Scissor Kicks,Lying Scissor Kick
Toes to Bar,Hanging Toes to Bar
Barbell Lunge,Barbell Lunge
Barbell Reverse Lunge,Barbell Rear Lunge
Barbell Walking Lunge,Barbell Walking Lunge
Barbell Curtsy Lunge,Barbell Curtsey Lunge (female)
Dumbbell Lunge,Dumbbell Lunge
Lunge,Forward Lunge (male)
Reverse Lunge,Bodyweight Rear Lunge
Lateral Lunge,Side Lunge
Barbell Lateral Lunge,Barbell Lateral Lunge
Close-Grip Lat Pulldown,Cable Close Grip Front Lat Pulldown
Lat Pulldown,Cable Bar Lateral Pulldown
Single-Arm Lat Pulldown,Cable one arm lat pulldown
Reverse-Grip Lat Pulldown,Cable Reverse Grip Pulldown
Straight Arm Lat Pulldown,Cable Straight Arm Pulldown
Barbell Pullover,Barbell Pullover
Bent-Arm Barbell Pullover,Barbell Bent Arm Pullover (male)
Dumbbell Pullover,Dumbbell Pullover (VERSION 2)
Machine Pullover,Lever Pullover (plate loaded)
Archer Push-Up,Archer Push-up
Close-Grip Push-Up,Close Grip Push up
Decline Push-Up,Decline Push Up m
Diamond Push-Up,Diamond Push up
Handstand Push-Up,Handstand Push Up
Incline Push-Up,Incline Push up
Kneeling Close-Grip Push-Up,Close-grip Push-up (on knees)
Kneeling Push-Up,Kneeling Push-up (male)
Pike Push-Up,Pike Push up
Push-Up,Push up m
Wide-Grip Push-Up,Wide Hand Push up
Barbell Rear Delt Row,Barbell Rear Delt Row
Barbell Bent-Over Row,Barbell Bent Over Row
Barbell Upright Row,Barbell Upright Row
Bench Pull,Barbell Lying Row on Rack
Cable Upright Row,Cable Upright Row
Chest-Supported Dumbbell Row,Dumbbell Row with Chest Supported
Chest-Supported T-Bar Row,Lever Lying Banded T bar Row
Dumbbell Bench Pull,Dumbbell Lying Row on Rack
Dumbbell Rear Delt Row,Dumbbell Seated Bent Over Rear Delt Row
Dumbbell Bent-Over Row,Dumbbell Bent over Row
Dumbbell Upright Row,Dumbbell Upright Row
Endurance Row,Rowing (with rowing machine)
Inverted Row,Inverted Row
Landmine Row,Lever Bent-over Row with V-bar (plate loaded)
Pendlay Row,Barbell Pendlay Row
Plate-Loaded High Row,Lever High Row (plate loaded)
Plate-Loaded Low Row,Lever Low Row (plate loaded)
Renegade Row,Dumbbell Renegade Row
Seal Row,Barbell Lying Seal Row on Rack
Seated Cable Row,Cable seated row
Seated Single-Arm Cable Row,Cable Seated Single Arm Lats Focused Row
Seated Machine Row,Lever Seated Row
T-Bar Row,Lever T bar Row (plate loaded)
Medicine Ball Russian Twist,Russian Twist (with medicine ball)
Russian Twist,Russian Twist
Dumbbell Side Bend,Dumbbell Side Bend
Roman Chair Side Bend,45 degrees Side Bend (male)
Back Squat,Barbell High Bar Squat
Barbell Bulgarian Split Squat,Barbell Single Leg Split Squat
Dumbbell Bulgarian Split Squat,Dumbbell Bulgarian Split Squat (female)
Goblet Bulgarian Split Squat,Dumbbell Goblet Bulgarian Split Squat
Barbell Hack Squat,Barbell Hack Squat
Barbell Split Squat,Barbell Split Squat
Belt Squat,Lever Belt Squat
Bodyweight Squat,Squat m
Box Squat,Barbell Box Squat
Dumbbell Cossack Squat,Dumbbell Cossack Squats (male)
Dumbbell Front Squat,Dumbbell Front Squat
Dumbbell Split Squat,Dumbbell Split Squat
Dumbbell Squat,Dumbbell Squat
Front Squat,Barbell Clean grip Front Squat
Goblet Squat,Dumbbell Goblet Squat
Jefferson Squat,Barbell Jefferson Squat
Landmine Front Squat,Landmine Front Squat
Machine Hack Squat,Sled Hack Squat
Pendulum Squat,Lever Pendulum Squat (plate loaded)
V-Squat,Lever Squat (plate loaded)
Overhead Squat,Barbell Overhead Squat
Pin Squat,Barbell Pin Squat
Pistol Squat,Single Leg Squat (pistol)male
Safety Bar Squat,Safety Bar Front Squat
Single-Leg Squat,Bodyweight Single Leg Squat (male)
Sissy Squat,Bodyweight Standing Sissy Squat
Smith Machine Squat,Smith Full Squat
Squat Thrust,Squat Thrust
Barbell Sumo Squat,Barbell sumo squat
Zercher Squat,Barbell full Zercher Squat
Dumbbell Thruster,Dumbbell Thruster
Barbell Thruster,Barbell Thruster
Bent-Over Dumbbell Tricep Extension,Dumbbell Standing Bent Over Two Arm Triceps Extension
Cable Tricep Kickback,Cable Two Arm Tricep Kickback
Dumbbell Tricep Kickback,Dumbbell Kickback
Lying Barbell Tricep Extension,Barbell Lying Triceps Extension
Lying Dumbbell Tricep Extension,Dumbbell Lying Triceps Extension
Lying EZ-Bar Tricep Extension,EZ Barbell Lying Triceps Extension (male)
Machine Tricep Extension,Lever Triceps Extension (VERSION 2)
Overhead Straight Bar Triceps Extension,Cable Overhead Tricep Extension Straight Bar (male)
Overhead Rope Tricep Extension,Cable High Pulley Overhead Tricep Extension
Reverse-Grip Tricep Pushdown,Cable Reverse Grip Triceps Pushdown (SZ-bar)
Seated Dumbbell Tricep Extension,Dumbbell Seated Triceps Extension
Single-Arm Cable Tricep Extension,Cable Standing One Arm Triceps Extension
Standing Barbell Tricep Extension,Barbell Standing Overhead Triceps Extension
Standing Dumbbell Tricep Extension,Dumbbell Standing Triceps Extension
Tate Press,Dumbbell Tate Press
Tricep Pushdown With Bar,Cable Pushdown
Tricep Pushdown With Rope,Cable Pushdown (with rope attachment)
Wall Sit,Wall sit (narrow stance) (male)
Weighted Wall Sit,Dumbbell Goblet Wall Sit (male)
Burpees,Burpee
Cable Pull Through,Cable Pull Through (with rope)
Cable Anti-Rotation Chop,Cable Kneeling High Low Anti Rotation Chop (male)
Frog Pump,Bodyweight Frog Pump
Good Morning,Barbell Good Morning
Kettlebell Halo,Kettlebell Half Kneeling Halo (male)
