Exercise Name,Image URL
Band External Rotation,https://gymvisual.com/animated-gifs/2396-band-standing-external-shoulder-rotation.html#/47-style_type-basic_grey
Seated Dumbbell External Rotation,https://gymvisual.com/animated-gifs/12398-dumbbell-seated-external-shoulder-rotation.html#/47-style_type-basic_grey
Cable Internal Rotation,https://gymvisual.com/animated-gifs/13552-cable-shoulder-internal-rotation.html#/47-style_type-basic_grey
Band Internal Rotation,https://gymvisual.com/animated-gifs/19251-resistance-band-standing-shoulder-internal-rotation-male.html#/47-style_type-basic_grey
Banded Lateral Raise,https://gymvisual.com/animated-gifs/2449-band-front-lateral-raise.html#/47-style_type-basic_grey
Cable Lateral Raise,https://gymvisual.com/animated-gifs/1586-cable-lateral-raise.html?search_query=cable+lateral+raise&results=48
Dumbbell Lateral Raise,https://gymvisual.com/animated-gifs/1835-dumbbell-lateral-raise.html?search_query=dumbbell+lateral+raise&results=133
Machine Lateral Raise,https://gymvisual.com/animated-gifs/2081-lever-lateral-raise.html?search_query=machine+lateral+raise&results=16
Barbell Front Raise,https://gymvisual.com/animated-gifs/1535-barbell-front-raise.html?search_query=barbell+front+raise&results=30
Dumbbell Front Raise,https://gymvisual.com/animated-gifs/1803-dumbbell-front-raise.html?search_query=dumbbell+front+raise&results=92
Plate Front Raise,https://gymvisual.com/animated-gifs/12363-weighted-plate-standing-high-front-raise.html?search_query=plate+raise&results=26
I-Y-T Raise (on Bench),
Incline Y Raise,
Scaption Raise,
Dumbbell Face Pull,https://gymvisual.com/animated-gifs/14154-dumbbell-bent-over-face-pull.html?search_query=dumbbell+face+pull&results=3
Face Pull,https://gymvisual.com/animated-gifs/14130-cable-standing-face-pull-with-rope.html?search_query=face+pull&results=45
Barbell Shrug,https://gymvisual.com/animated-gifs/1592-barbell-shrug.html#/47-style_type-basic_grey
Behind the Back Barbell Shrug,https://gymvisual.com/animated-gifs/8917-barbell-behind-the-back-shrug.html#/47-style_type-basic_grey
Cable Shrug,https://gymvisual.com/animated-gifs/1713-cable-shrug.html?search_query=cable+shrug&results=14
Dumbbell Shrug,https://gymvisual.com/animated-gifs/1907-dumbbell-shrug.html#/47-style_type-basic_grey
Trap Bar Shrug,https://gymvisual.com/animated-gifs/10154-trap-bar-standing-shrug-male.html?search_query=trap+bar+shrug&results=10
Machine Shrug,https://gymvisual.com/animated-gifs/2101-lever-shrug-plate-loaded.html#/47-style_type-basic_grey
Power Shrug,https://gymvisual.com/animated-gifs/14151-barbell-power-shrug.html#/47-style_type-basic_grey
Smith Machine Shrug,https://gymvisual.com/animated-gifs/2250-smith-shrug.html?search_query=smith+machine+shrug&results=14
Ab Wheel Roll-Out,https://gymvisual.com/animated-gifs/2338-wheel-rollout.html?search_query=ab+wheel+rollout&results=21
Stability Ball Roll-Out,https://gymvisual.com/animated-gifs/21289-stability-ball-rollout-on-knees-male.html?search_query=stability+ball+rollout&results=12
Barbell Calf Raise,https://gymvisual.com/animated-gifs/1606-barbell-standing-leg-calf-raise.html?search_query=barbell+calf+raise&results=27
Bodyweight Calf Raise,https://gymvisual.com/animated-gifs/3143-bodyweight-standing-calf-raise.html#/47-style_type-basic_grey
Donkey Calf Raise,https://gymvisual.com/animated-gifs/2696-lever-donkey-calf-raise.html?search_query=donkey+calf+raise&results=16
Dumbbell Calf Raise,https://gymvisual.com/animated-gifs/1918-dumbbell-standing-calf-raise.html?search_query=dumbbell+calf+raise&results=47
Dumbbell Walking Calf Raise,https://gymvisual.com/animated-gifs/14250-dumbbell-walking-calf-raise.html?search_query=dumbbell+calf+raise&results=47
Leg Press Calf Raise,https://gymvisual.com/animated-gifs/3161-sled-calf-press-on-leg-press.html#/47-style_type-basic_grey
Plate-Loaded Standing Calf Raise,
Seated Calf Raise,https://gymvisual.com/animated-gifs/2091-lever-seated-calf-raise-plate-loaded.html#/47-style_type-basic_grey
Single-Leg Seated Calf Raise,https://gymvisual.com/animated-gifs/2666-lever-seated-one-leg-calf-raise.html#/47-style_type-basic_grey
Standing Calf Raise,https://gymvisual.com/animated-gifs/2102-lever-standing-calf-raise.html#/47-style_type-basic_grey
Elliptical Stride,https://gymvisual.com/animated-gifs/12069-walking-on-elliptical-machine-version-7-female.html#/47-style_type-basic_grey
Indoor Cycling,https://gymvisual.com/animated-gifs/9829-bicycle-recline-walk.html#/47-style_type-basic_grey
Ladder Climb,
Stair Climb,
Treadmill Walk/Run,https://gymvisual.com/animated-gifs/4766-walking-on-treadmill.html#/47-style_type-basic_grey
21s Curl,https://gymvisual.com/animated-gifs/13293-ez-bar-21s.html?search_query=21s&results=4
Band Biceps Curl,https://gymvisual.com/animated-gifs/10130-band-biceps-curl.html#/47-style_type-basic_grey
Barbell Curl,https://gymvisual.com/animated-gifs/1525-barbell-curl.html#/47-style_type-basic_grey
Barbell Reverse Curl,https://gymvisual.com/animated-gifs/1574-barbell-reverse-curl.html?search_query=barbell+reverse+curl&results=44
Barbell Wrist Curl,https://gymvisual.com/animated-gifs/1623-barbell-wrist-curl-version-2.html#/47-style_type-basic_grey
Cable Concentration Curl,https://gymvisual.com/animated-gifs/3568-cable-concentration-curl.html?search_query=cable+concentration+curl&results=14
Cable Curl With Bar,https://gymvisual.com/animated-gifs/3567-cable-close-grip-curl.html#/47-style_type-basic_grey
Cable Hammer Curl,https://gymvisual.com/animated-gifs/1658-cable-hammer-curl-with-rope-male.html?search_query=cable+hammer+curl&results=15
Cheat Curl,https://gymvisual.com/animated-gifs/14248-cheat-curl.html?search_query=cheat+curl&results=3
Concentration Curl,https://gymvisual.com/animated-gifs/1790-dumbbell-concentration-curl.html?search_query=dumbbell+concentration+curl&results=21
Drag Curl,https://gymvisual.com/animated-gifs/1532-barbell-drag-curl.html?search_query=drag+curl&results=31
Dumbbell Curl,https://gymvisual.com/animated-gifs/1778-dumbbell-alternate-biceps-curl.html#/47-style_type-basic_grey
Dumbbell Reverse Curl,https://gymvisual.com/animated-gifs/1930-dumbbell-standing-reverse-curl.html#/47-style_type-basic_grey
Dumbbell Reverse Wrist Curl,https://gymvisual.com/animated-gifs/1869-dumbbell-over-bench-revers-wrist-curl.html#/47-style_type-basic_grey
Dumbbell Wrist Curl,https://gymvisual.com/animated-gifs/1870-dumbbell-over-bench-wrist-curl.html#/47-style_type-basic_grey
EZ-Bar Curl,https://gymvisual.com/animated-gifs/1948-ez-barbell-curl.html#/47-style_type-basic_grey
EZ-Bar Reverse Curl,https://gymvisual.com/animated-gifs/1952-ez-barbell-reverse-grip-curl.html#/47-style_type-basic_grey
Hammer Curl,https://gymvisual.com/animated-gifs/1806-dumbbell-hammer-curl.html#/47-style_type-basic_grey
Lying Cable Curl,https://gymvisual.com/animated-gifs/3571-cable-lying-bicep-curl.html?search_query=lying+cable+curl&results=21
Incline Cable Curl,https://gymvisual.com/animated-gifs/14255-cable-incline-biceps-curl.html?search_query=incline+cable+curl&results=8
Incline Dumbbell Curl,https://gymvisual.com/animated-gifs/1808-dumbbell-incline-biceps-curl.html#/47-style_type-basic_grey
Incline Hammer Curl,https://gymvisual.com/animated-gifs/1821-dumbbell-incline-hammer-curl.html?search_query=incline+hammer+curl&results=18
Jefferson Curl,https://gymvisual.com/animated-gifs/17770-dumbbell-jefferson-curl-male.html?search_query=jefferson+curl&results=4
Machine Bicep Curl,https://gymvisual.com/animated-gifs/12122-lever-biceps-curl.html?search_query=machine+bicep+curl&results=23
Machine Preacher Curl,https://gymvisual.com/animated-gifs/2089-lever-preacher-curl.html?search_query=machine+preacher+curl&results=29
Overhead Cable Curl,https://gymvisual.com/animated-gifs/3573-cable-overhead-curl.html?search_query=overhead+cable+curl&results=13
Plate Wrist Curl,
Ez-Bar Preacher Curl,https://gymvisual.com/animated-gifs/16019-ez-barbell-preacher-curl.html#/47-style_type-basic_grey
Reverse Wrist Curl,https://gymvisual.com/animated-gifs/1573-barbell-revers-wrist-curl-version-2.html#/47-style_type-basic_grey
Seated Dumbbell Curl,https://gymvisual.com/animated-gifs/1892-dumbbell-seated-curl.html?search_query=seated+dumbbell+curl&results=80
Single-Arm Cable Bicep Curl,https://gymvisual.com/animated-gifs/1683-cable-one-arm-curl.html#/47-style_type-basic_grey
Single-Arm Dumbbell Preacher Curl,https://gymvisual.com/animated-gifs/1873-dumbbell-preacher-curl.html?search_query=dumbbell+preacher+curl&results=63
Spider Curl,https://gymvisual.com/animated-gifs/1955-ez-barbell-spider-curl.html?search_query=spider+curl&results=26
Strict Curl,https://gymvisual.com/animated-gifs/14158-barbell-srtict-curl.html?search_query=srtict+curl&results=9
Zottman Curl,https://gymvisual.com/animated-gifs/1940-dumbbell-zottman-curl.html?search_query=zottman+curl&results=18
Nordic Curl,https://gymvisual.com/animated-gifs/18424-nordic-hamstring-curl-male.html?search_query=nordic+hamstring+curl&results=6
Reverse Nordic Curl,
Neck Curl,https://gymvisual.com/animated-gifs/2512-weighted-lying-neck-flexion.html#/47-style_type-basic_grey
Deadlift,https://gymvisual.com/animated-gifs/1526-barbell-deadlift.html#/47-style_type-basic_grey
Single-Leg Deadlift,https://gymvisual.com/animated-gifs/3768-barbell-single-leg-deadlift.html#/47-style_type-basic_grey
Dumbbell Deadlift,https://gymvisual.com/animated-gifs/11281-dumbbell-deadlift-version-2-male.html#/47-style_type-basic_grey
Single-Leg Dumbbell Deadlift,https://gymvisual.com/animated-gifs/3769-dumbbell-single-leg-deadlift.html#/47-style_type-basic_grey
Deficit Deadlift,https://gymvisual.com/animated-gifs/14254-barbell-deadlift-from-deficit.html?search_query=deficit+deadlift&results=12
Behind the Back Deadlift,https://gymvisual.com/animated-gifs/14152-barbell-behind-the-back-deadlift.html?search_query=behind+the+back+deadlift&results=2
Jefferson Deadlift,https://gymvisual.com/animated-gifs/14258-barbell-jefferson-deadlift.html?search_query=jefferson+deadlift&results=2
Snatch Grip Deadlift,https://gymvisual.com/animated-gifs/17605-barbell-snatch-grip-deadlift-male.html?search_query=snatch+grip+deadlift&results=3
Stiff-Legged Deadlift,https://gymvisual.com/animated-gifs/3409-barbell-stiff-legged-deadlift.html#/47-style_type-basic_grey
Sumo Deadlift,https://gymvisual.com/animated-gifs/1615-barbell-sumo-deadlift.html#/47-style_type-basic_grey
Trap Bar Deadlift,https://gymvisual.com/animated-gifs/2293-trap-bar-deadlift.html?search_query=trap+bar+deadlift&results=12
Zercher Deadlift,https://gymvisual.com/animated-gifs/14159-barbell-zercher-deadlift.html?search_query=zercher+deadlift&results=2
Romanian Deadlift,https://gymvisual.com/animated-gifs/1579-barbell-romanian-deadlift.html#/47-style_type-basic_grey
Single-Leg Romanian Deadlift,
Dumbbell Romanian Deadlift,https://gymvisual.com/animated-gifs/3206-dumbbell-romanian-deadlift.html#/47-style_type-basic_grey
